40,70,-1,41,59,-3,45,45,-6,48,35,-8,47,26,-9,45,45,-10,58,43,-14,56,47,-16,51,48,-16,45,54,-11,60,52,-15,57,55,-14,51,56,-14,46,63,-12,60,61,-15,57,63,-13,52,64,-11,48,71,-13,59,69,-15,56,70,-13,52,71,-13,59,95,0,65,85,-8,69,76,-14,76,70,-18,85,67,-24,56,79,-13,49,77,-19,43,75,-23,38,74,-26,49,85,-12,41,82,-16,36,79,-19,31,77,-21,45,90,-11,37,87,-14,33,85,-16,28,83,-17,42,94,-10,36,91,-12,32,90,-13,28,88,-14,HELP
37,69,-1,38,58,-3,43,45,-6,46,35,-8,45,26,-9,42,45,-10,57,42,-14,55,47,-15,50,49,-16,42,53,-11,58,51,-14,55,55,-13,50,56,-13,43,62,-12,58,60,-14,55,63,-11,50,64,-10,44,70,-13,56,68,-14,54,70,-12,49,71,-11,56,95,0,62,85,-8,66,77,-14,73,70,-19,82,67,-24,54,81,-14,47,77,-20,41,75,-24,35,74,-26,47,86,-13,38,82,-17,32,79,-20,27,77,-21,42,90,-11,34,86,-15,29,83,-17,24,80,-18,39,93,-11,33,90,-13,28,87,-14,24,84,-14,HELP
34,69,-1,35,58,-3,40,45,-6,43,35,-9,42,26,-11,39,45,-12,54,41,-16,53,46,-17,48,48,-16,39,53,-12,56,50,-16,53,54,-14,48,56,-13,40,62,-13,56,59,-15,53,62,-12,49,64,-10,42,71,-14,54,68,-15,52,69,-13,48,70,-11,55,94,0,59,85,-9,63,76,-15,70,69,-20,79,66,-26,49,79,-15,42,76,-20,35,75,-24,29,74,-27,43,84,-13,34,82,-18,28,80,-20,22,79,-22,39,88,-11,30,86,-15,25,84,-16,20,82,-17,36,91,-10,29,89,-12,25,88,-13,21,85,-14,HELP
35,68,-1,36,57,-4,40,44,-7,41,35,-10,40,26,-13,37,44,-13,52,41,-18,51,45,-19,46,48,-19,37,54,-14,54,51,-18,51,54,-17,46,56,-16,38,63,-15,54,60,-17,51,63,-14,46,64,-13,40,71,-16,52,69,-17,49,70,-15,45,71,-14,50,95,0,57,86,-10,61,77,-17,67,70,-23,75,65,-28,47,81,-17,40,77,-23,34,75,-27,28,74,-30,40,86,-15,31,81,-20,25,78,-23,18,75,-25,35,89,-13,27,85,-17,21,81,-20,16,78,-21,32,92,-12,26,88,-15,21,85,-16,17,83,-17,HELP
34,68,0,37,56,-4,39,44,-8,40,35,-12,38,26,-15,35,45,-13,50,42,-18,50,47,-19,46,50,-19,34,55,-14,52,52,-18,50,56,-17,46,58,-16,36,64,-14,51,62,-17,49,65,-14,45,66,-13,37,72,-15,50,70,-17,48,72,-16,44,72,-15,49,96,0,55,87,-9,59,78,-16,64,71,-21,72,66,-26,44,81,-15,37,77,-21,30,75,-24,24,74,-27,38,86,-13,28,82,-18,21,78,-20,15,75,-22,33,90,-12,24,86,-15,19,82,-17,13,79,-19,31,93,-11,24,91,-13,19,88,-15,14,86,-15,HELP
35,71,-1,36,58,-3,37,44,-5,38,35,-6,36,27,-8,32,46,-7,48,42,-11,48,47,-12,44,47,-12,32,55,-7,49,51,-11,49,54,-10,45,54,-10,33,63,-8,49,60,-11,48,62,-9,45,62,-9,35,70,-10,47,68,-11,47,69,-10,44,69,-10,47,96,0,53,87,-10,57,78,-17,63,71,-23,70,66,-29,42,81,-17,34,77,-24,27,75,-28,21,75,-31,36,86,-16,26,81,-22,18,78,-25,11,75,-27,31,90,-14,22,85,-19,15,82,-21,9,79,-23,29,93,-13,22,89,-16,16,87,-18,11,85,-19,HELP
36,69,0,36,56,-4,35,44,-6,34,35,-7,33,26,-8,29,46,-7,44,42,-10,46,45,-11,44,45,-12,28,55,-7,45,53,-10,47,53,-9,47,53,-10,29,65,-8,44,62,-10,46,60,-10,46,58,-9,32,72,-8,42,70,-11,44,68,-11,44,66,-11,42,96,0,48,87,-12,52,79,-20,57,71,-27,65,65,-34,38,82,-21,30,79,-29,23,77,-34,16,76,-38,31,87,-19,21,83,-26,13,80,-30,5,77,-33,26,91,-16,16,86,-22,10,83,-25,3,80,-27,24,93,-15,17,89,-19,11,87,-21,6,84,-22,HELP
35,73,-1,36,59,-5,35,46,-8,33,37,-10,31,27,-12,25,44,-10,42,42,-15,49,45,-18,51,46,-19,24,54,-10,42,52,-14,49,53,-14,52,54,-15,25,64,-11,42,62,-15,49,61,-15,52,60,-14,28,73,-11,39,72,-15,42,71,-15,42,70,-15,41,97,0,48,88,-13,51,80,-22,56,72,-29,62,67,-37,36,82,-24,27,79,-32,19,76,-37,12,75,-41,29,88,-20,16,83,-29,7,79,-33,-2,76,-36,25,92,-17,13,86,-24,5,82,-28,-2,78,-30,22,94,-15,15,89,-20,9,85,-22,3,82,-24,HELP
32,72,-1,34,58,-4,33,46,-7,32,36,-9,29,26,-11,23,45,-10,41,44,-15,46,46,-18,46,47,-20,22,55,-10,42,53,-14,46,56,-14,47,55,-15,24,66,-11,41,63,-15,46,63,-15,47,61,-15,27,75,-12,35,74,-16,34,74,-17,31,73,-18,39,97,0,46,88,-14,49,80,-24,54,72,-31,60,67,-39,34,83,-26,25,78,-35,17,76,-41,9,74,-45,27,89,-23,15,83,-32,5,78,-36,-4,75,-40,23,92,-19,11,87,-26,3,82,-30,-4,79,-33,20,94,-16,13,89,-22,6,86,-24,1,83,-26,HELP
30,69,-1,32,57,-5,32,45,-8,30,36,-11,28,26,-13,22,44,-11,41,44,-16,44,48,-19,43,49,-20,20,54,-11,42,53,-15,45,56,-15,45,56,-15,22,64,-11,42,62,-15,45,63,-14,45,62,-14,25,73,-12,40,71,-16,42,71,-16,41,70,-16,38,96,0,44,87,-15,48,78,-25,53,71,-33,58,67,-41,30,82,-27,22,78,-37,14,75,-43,6,74,-47,24,88,-23,11,83,-32,1,78,-37,-7,74,-40,19,91,-19,8,86,-26,0,81,-30,-7,77,-32,18,93,-15,10,88,-20,3,85,-22,-2,81,-24,HELP
